PROJECT	SAMPLE	PATH	TYPE
758	EVSA-T							/nfs/cancer_trk0007/00000024/103816.bam.bai	bam bai
758	EW-1							/nfs/cancer_trk0006/00000022/86671.bam		bam
758	EW-1							/nfs/cancer_trk0006/00000022/86672.bam.bai	bam bai
758	EW-11							/nfs/cancer_trk0006/00000022/86663.bam		bam
758	EW-11							/nfs/cancer_trk0006/00000022/86664.bam.bai	bam bai
758	EW-12							/nfs/cancer_trk0007/00000023/86669.bam		bam
758	EW-12							/nfs/cancer_trk0006/00000022/86670.bam.bai	bam bai
758	EW-13							/nfs/cancer_trk0006/00000022/86649.bam		bam
758	EW-13							/nfs/cancer_trk0006/00000022/86650.bam.bai	bam bai
758	EW-16							/nfs/cancer_trk0006/00000022/86647.bam		bam
758	EW-16							/nfs/cancer_trk0006/00000022/86648.bam.bai	bam bai
758	EW-18							/nfs/cancer_trk0006/00000022/86645.bam		bam
758	EW-18							/nfs/cancer_trk0006/00000022/86646.bam.bai	bam bai
758	EW-22							/nfs/cancer_trk0006/00000022/86651.bam		bam
758	EW-22							/nfs/cancer_trk0006/00000022/86652.bam.bai	bam bai
758	EW-24							/nfs/cancer_trk0006/00000022/86653.bam		bam
758	EW-24							/nfs/cancer_trk0006/00000022/86654.bam.bai	bam bai
758	EW-3							/nfs/cancer_trk0006/00000022/86699.bam		bam
758	EW-3							/nfs/cancer_trk0006/00000022/86700.bam.bai	bam bai
758	EW-7							/nfs/cancer_trk0006/00000022/86643.bam		bam
758	EW-7							/nfs/cancer_trk0006/00000022/86644.bam.bai	bam bai
758	FU97							/nfs/cancer_trk0006/00000022/86715.bam		bam
758	FU97							/nfs/cancer_trk0006/00000022/86716.bam.bai	bam bai
758	FU-OV-1							/nfs/cancer_trk0007/00000023/87589.bam		bam
758	FU-OV-1							/nfs/cancer_trk0007/00000023/87590.bam.bai	bam bai
758	G-361							/nfs/cancer_trk0005/00000019/75087.bam		bam
758	G-361							/nfs/cancer_trk0001/00000005/75088.bam.bai	bam bai
758	GA-10							/nfs/cancer_trk0014/00000048/104037.bam		bam
758	GA-10							/nfs/cancer_trk0007/00000024/104038.bam.bai	bam bai
758	GAK							/nfs/cancer_trk0005/00000019/69617.bam		bam
758	GAK							/nfs/cancer_trk0001/00000003/69618.bam.bai	bam bai
758	GAMG							/nfs/cancer_trk0010/00000031/103961.bam		bam
758	GAMG							/nfs/cancer_trk0007/00000024/103962.bam.bai	bam bai
758	GB-1							/nfs/cancer_trk0009/00000029/103650.bam		bam
758	GB-1							/nfs/cancer_trk0002/00000008/103651.bam.bai	bam bai
758	GCIY							/nfs/cancer_trk0007/00000024/103720.bam		bam
758	GCIY							/nfs/cancer_trk0007/00000024/103721.bam.bai	bam bai
758	GCT							/nfs/cancer_trk0011/00000036/106481.bam		bam
758	GCT							/nfs/cancer_trk0002/00000008/106482.bam.bai	bam bai
758	GI-1							/nfs/cancer_trk0010/00000031/103652.bam		bam
758	GI-1							/nfs/cancer_trk0005/00000017/103653.bam.bai	bam bai
758	GMS-10							/nfs/cancer_trk0010/00000031/103963.bam		bam
758	GMS-10							/nfs/cancer_trk0007/00000024/103964.bam.bai	bam bai
758	GR-ST							/nfs/cancer_trk0010/00000031/103995.bam		bam
758	GR-ST							/nfs/cancer_trk0002/00000008/103996.bam.bai	bam bai
758	GT3TKB							/nfs/cancer_trk0007/00000024/103722.bam		bam
758	GT3TKB							/nfs/cancer_trk0007/00000024/103723.bam.bai	bam bai
758	H2369							/nfs/cancer_trk0007/00000024/95135.bam		bam
758	H2369							/nfs/cancer_trk0006/00000022/95136.bam.bai	bam bai
758	H2373							/nfs/cancer_trk0009/00000027/98498.bam		bam
758	H2373							/nfs/cancer_trk0007/00000023/98499.bam.bai	bam bai
758	H2461							/nfs/cancer_trk0006/00000022/86731.bam		bam
758	H2461							/nfs/cancer_trk0006/00000022/86732.bam.bai	bam bai
758	H2591							/nfs/cancer_trk0012/team78/00000042/99859.bam	bam
758	H2591							/nfs/cancer_trk0007/00000024/99860.bam.bai	bam bai
758	H2595							/nfs/cancer_trk0011/00000036/106469.bam		bam
758	H2595							/nfs/cancer_trk0002/00000008/106470.bam.bai	bam bai
758	H2722							/nfs/cancer_trk0007/00000024/95139.bam		bam
758	H2722							/nfs/cancer_trk0006/00000022/95140.bam.bai	bam bai
758	H2795							/nfs/cancer_trk0007/00000024/95137.bam		bam
758	H2795							/nfs/cancer_trk0006/00000022/95138.bam.bai	bam bai
758	H2803							/nfs/cancer_trk0006/00000022/86729.bam		bam
758	H2803							/nfs/cancer_trk0006/00000022/86730.bam.bai	bam bai
758	H2804							/nfs/cancer_trk0006/00000022/86757.bam		bam
758	H2804							/nfs/cancer_trk0006/00000022/86758.bam.bai	bam bai
758	H2810							/nfs/cancer_trk0010/00000033/106471.bam		bam
758	H2810							/nfs/cancer_trk0006/00000022/106472.bam.bai	bam bai
758	H2818							/nfs/cancer_trk0007/00000024/95131.bam		bam
758	H2818							/nfs/cancer_trk0006/00000022/95132.bam.bai	bam bai
758	H2869							/nfs/cancer_trk0006/00000022/86759.bam		bam
758	H2869							/nfs/cancer_trk0006/00000022/86760.bam.bai	bam bai
758	H290							/nfs/cancer_trk0006/00000022/86761.bam		bam
758	H290							/nfs/cancer_trk0006/00000022/86762.bam.bai	bam bai
758	H3118							/nfs/cancer_trk0010/00000031/104461.bam		bam
758	H3118							/nfs/cancer_trk0009/00000030/104462.bam.bai	bam bai
758	H4							/nfs/cancer_trk0010/00000031/103965.bam		bam
758	H4							/nfs/cancer_trk0007/00000024/103966.bam.bai	bam bai
758	H513							/nfs/cancer_trk0007/00000024/87675.bam		bam
